___ annotation is used to specify URI of the resource | @path
What does DDL stand for | data definition language
What does DTD stand for | document type definition
What does JAX-RS standfor | java api for xml and restful services
What does JAXB stand for? | java architecture for xml binding
What does method characters() of ContentHandler interface receive events for? | character data
What does REST stand for | representational state transfer
What does SAX stand for | simple api for xml
What does SOAP stand for | simple object access protocol.
What does the "sequence" element of XSD indicate? | all the elements specified within this element must compulsorily appear in the xml document, and they must appear in the specified order
What does the following CSS rule do? .note { font-size: 1.5em } | it multiplies all text object font sizes with class = "note" by 1.5.
What does the following HTML document do? <HTML> <HEAD> <TITLE>DHTML Event Model - ONLOAD</TITLE> <SCRIPT LANGUAGE = "JavaScript"> var value = 0; function startTimer(){ window.setInterval( "updateTime()", 1000 ); } function updateTime(){ value++; pText.innerText = value; } </SCRIPT> </HEAD> <BODY ONLOAD = "startTimer()"> <P><A ID = "pText">0</A></P> </BODY> </HTML> | it counts the number of seconds elapsed viewing the page.
What does the following statement do? <SPAN ID = "colorName" STYLE = "font-family: monospace" DATASRC = "#Colors" DATAFLD = "ColorName"></SPAN><BR> | it assigns the tdc control named colors to a span element for display purposes.
What does the following statement do? Math.floor( Math.random() * 12 ); | b) this creates a random number from 0 up to but not including 12.
What does the following statement do?<SPAN ID = "colorName" STYLE = "font-family: monospace" DATASRC = "#Colors" DATAFLD = "ColorName"></SPAN><BR> | it assigns the tdc control named colors to a span element for display purposes.
What does the following statement do?Math.floor( Math.random() * 12 ); | this creates a random number from 0 up to but not including 12.
What does the keyword SYSTEM indicate in the following code? <!DOCTYPE Book SYSTEM "book.dtd"> | book.dtd is an internal dtd
What does the keyword SYSTEM indicate in the following code? <?xml version ="1.0"?> <!DOCTYPE Book SYSTEM "book.dtd"> | book.dtd is an external dtd
What does the Option Explicit statement do? | it does not allow the programmer to use variables without declaring them first.
What does the parser do with the CDATA section of an XML document? | passes the data to the application that uses the xml document without any translation or interpretation
What does the ScriptEngine function do? | it returns the type script being used.
What does the sequence element of XSD indicate? | all the elements specified within this element must compulsorily appear in the xml document, and they must appear in the specified order
What does the srcElement event property contain? | a reference to the element that fired the event.
What does the value string contain after the following code is executed? var string = "Good luck on the test"; string = string.charAt( 3 ); | c) d
What does the value string contain after the following code is executed? var string = "Good luck on the test"; string = string.link("www.deitel.com") | a link to www.deitel.com with the text "good luck on the test"
What does the value string contain after the following code is executed? var string = "Good luck on the test"; string = string.split( " " ); | good luck on the test
What does the xsl:apply-imports for? | apply the template to selected location from xsl:apply-imports
What does UDDI stand for | universal description, discovery and integration
What does WSDL stand for | web service description lanaguage
What does XSL stand for? | extensible stylesheet language
What gets printed when the following expression is evaluated? Select the one correct answer. ${(1==2) ? 4 : 5} | 5
What gets printed when the following expression is evaluated? Select the one correct answer. ${4 div 5} | 0.8
What gets printed when the following expression is evaluated? Select the one correct answer. ${12 % 4} | 0
What gets printed when the following is compiled. Select the one correct answer.<% int y = 0; %> <% int z = 0; %> <% for(int x=0;x<3;x++) { %> <% z++;++y;%> <% }%> <% if(z<y) {%> <%= z%> <% } else {%> <%= z - 1%> <% }%> | 2
What gets printed when the following JSP code is invoked in a browser. Select the one correct answer. <%= if(Math.random() < 0.5) %> hello<%= } else { %> hi <%= } %> | the jsp file will not compile.
What gets printed when the following JSTL code fragment is executed? Select the one correct answer.<%@ taglib uri="http://java.sun.com/jsp/jstl/core" prefix="c" %> <c:set var="item" value="2"/> <c:forEach var="item" begin="0" end="0" step="2"><c:out value="${item}" default="abc"/></c:forEach> | 0
What gets printed when the following JSTL code fragment is executed? Select the one correct answer.<%@ taglib uri="http://java.sun.com/jsp/jstl/core" prefix="c" %> <c:set var="item" value="2"/> <c:if test="${var==1}" var="result" scope="session"> <c:out value="${result}"/> </c:if> | nothing gets printed.
What happens when you try to access a JSP | - browser sends http request to web server
What is a correct way of referring to a stylesheet called "mystyle.xsl? | <?xmlstylesheet type="text/xsl" href="mystyle.xsl"?>
What is address, phone in the declaration ? | a group
What is hybrid model in SQL Server ? | combination of relational and xml data type columns
What is index type for XML index entries ? | 3
What is NOT true about StAX? | it is a "push" parser
What is output to the web page on the second access to the same instance of the following JSP? <html><body><% int x = 0; %><%= x++ %></body> </html> | 0
What is stored inside the variable value after the following line of code is executed? | . the navigator object does not contain an attribute named version
What is stored inside the variable value after the following line of code is executed? var value = navigator.appVersion; | it stores a string representing the version of the browser and other information.
What is stored inside the variable value after the following line of code is executed? var value = navigator.version; | the navigator object does not contain an attribute named version.
What is the "Document Type Declaration" ? | the doctype declaration
What is the consequence of attempting to access the following JSP page? <question><html><question><body><question><%! <question> public void _jspService(HttpServletRequest request, HttpServletResponse response) {<question> out.write("A");<question> }<question> %><question><% out.write("B"); %><question></body><question></html> | a. duplicate method compilation error.
What is the correct CSS syntax for making all the <p> elements bold? | p {font-weight:bold;}
What is the correct declaration syntax for the version of an XML document | <? xml version="1.0"/?>
What is the correct HTML for referring to an external style sheet file named mystyle.css? | <style src="mystyle.css">
What is the correct JavaScript syntax for opening a new window called "window5" ? | window.open("http://www.ex-designz.net","window5")
What is the correct JavaScript syntax to write "Hello World"? | document.write("hello world")
What is the correct syntax for referring to an external script called "xxx.js"? | <script src="xxx.js">
What is the correct way to write a JavaScript array? | var txt = new array("tim","shaq","kobe")
What is the default axis in XPath ? | child
What is the default type for an element in XML Schema ? | anytype
What is the effect of evaluation of following expression? Select the one correct answer. ${'cat' gt 'cap'} | true
What is the effect of evaluation of following expression? Select the one correct answer. ${(5*5) ne 25} | false
What is the effect of executing the following JSP statement, assuming a class with name Employee exists in classes package. <%@ page import = "classes.Employee" %> <jsp:useBean id="employee" class="classes.Employee" scope="session"/> <jsp:setProperty name="employee" property="*"/> | the code sets the values of all properties of employee bean to matrching parameters in request object
What is the effect of the following line of code? window.event.returnValue = true; | (b) it returns a true value to signal the browser to continue its default event-handling action.
What is the effect of the join statement in the following code? var theArray1 = [ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 ], theArray2 = [ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 ]; var value = theArray1.join( " " ); | the join method will create a string from the values in thearray1.
What is the evaluation of the following expression? ((3+ ( 5 + 4 ) * 7 ) + 4 ) / 5 | 14
What is the format of DTDs ? | extended backus-naur form (ebnf);
What is the full form of SAX? | simple api for xml
What is the function of the XML parser? | converts xml document to xml dom object
What is the implementation specification of EJB 3 session bean classes? | a. a session bean class must be marked with @stateless or @stateful
What is the javascript? | 3 cau co chu js o dau
What is the major difference between Servlet 2.5 and Servlet 3.0 | web.xml
what is the purpose of HTML | html - designed to display data, with focus on how data looks
What is the purpose of JNDI? | d. to access various directory services using a single interface
What is the purpose of the line beginning with A.nodec in the following script? | the .nodec appended to a is an extension of class styles and will apply only to a elements that specify nodec as their class
what is the purpose of XML | xml - designed to transport and store data, with focus on what data is
What is the result of attempting to access the following JSP page?<html><body><%! public String methodA() { return methodB();}%><%! public String methodB() { return "JAD Final Test";}%><h2><%= methodA() %></h2></body></html> | "jad final test" is output to the resulting web page
What is the result of attempting to access the following JSP page?<question><html><question><body><question><%! public String methodA() {<question> return methodB();<question>}<question>%><question><%! public String methodB() {<question> return "JAD Final Test";<question>}<question>%><question><h2><%= methodA() %></h2><question></body><question></html> | a. "jad final test" is output to the resulting web page.
What is the result of the statement 17 % 5? | 2
What is the result of writing the keyword var in a function parameter list | he result would be a javascript runtime error
What is the result of writing the keyword var in a function parameter list? | the parameter following the keyword would become a static variable.
What is the significance of the + sign in the code given below? <!ELEMENT BOOK (AUTHOR+)> | indicates that author tag must occur at least once inside the book element
What is the significance of the following CSS rule? LI, EM { color: red;cfont-weight: bold } | it will apply the specified style to text enclosed by either li or em tags.
What is the significance of the second function argument in the following line? window.setInterval( "run()", 100 ); | the value sets how often to run the function.
What is the underscore character used for in VBScript? | d) it is used as a line continuation character
What is the value of i after the following statements? i = 2; i += 25; | 27
What is the value of i after the following statements? i = 2; i- -; i- -; | 0
What is the value of i after the following statements? i = 2; i++; | 3
What is the value of num after the following statement is performed? num = 2 * Math.pow( 2, 3 ); | a. 16
What is the value of num after the following statement is performed? num = Math.round( 2.45 ); | 2
What is the value of num assuming that all 12 elements of array test are initialized to 3? ++test[ 7 ]; var num = test[ 7 ]; | b) 4
What is the value of s1 after the following code is executed? var s1 = "deitel and associates" s1 = s1.slice( 6 ) | c) and associates
What is the value of s3 after the following code is executed? var s1 = one, s2 = two, s3 = three; s1.concat(s2) s3 = s1; | onetwo
What is this: ? | references a shared dtd
What is wrong with the following line of code? <P><FONT SIZE='5'>This is a test.</FONT></P> | nothing
What is wrong with the following VBScript code? 1 Select Case x 2 Case 1 3 Call MsgBox("1") 4 Case 2 5 Call MsgBox("2") 6 Case Else 7 Call MsgBox("?") 8 End Select | nothing.
What is wrong with the following VBScript code? If (s = t) Then u = s + t ElseIf (s > t) Then u = r Else u = n End If | nothing
What is wrong with the following VBScript code? Select Case x Case 1 Call MsgBox("1") Case 2 Call MsgBox("2") Case Else Call MsgBox("?") End Select | nothing.
What is XML | extensible markup language: an application- and platform-independent way to represent data
What is XML? | extensible markup language
What kind of clause is used to specify the filter criteria? | where clause
What kind of separator can be used in a list datatype in XML Schema ? | whitespace (" ");
What makes XML more powerful than HTML? | its ability to adapt to new uses
What makes XML Unique | it is a standard that lets users create their own tags to structure and store data
What markup language categorization determines the content of the document? | semantic markup
What organization presented the first version of Starndardized Generalized Markup Language (SGML) in 1980? ) | american national standards institute (ansi)
What SAX method(s) do you implement to handle elements? | you can implement the startelement and endelement methods to catch the starting and closing tags of elements
What schema groups should a group of elements be defined under in order to allow them all to appear in any sequence in a document instance? | xsd:all
What should be the return type of the method using @PrePassivate? | b. void
What statement is true when processing XML in a servlet or JSP? | a dtd or schema must be provided for validation.
What type of loop is shown in the script below? <SCRIPT LANGUAGE = "JavaScript"> var gradeValue = 0, total = 0, grade = 0; while ( gradeValue != - 1 ) { total = total + gradeValue; grade = window.prompt("Enter Integer Grade, -1 to Quit:", "0"); gradeValue = parseInt( grade ); }</SCRIPT> | sentinel controlled
What type of method does SAX use to process XML documents? | event-based
What will happen when a servlet makes the following call within its doGet() method? getServletContext().setAttribute("userid", userid); | the userid attribute is placed in application scope.
What will the browser display if the following script is executed?< SCRIPT LANGUAGE = "JavaScript" > var theArray = [ 1, 2, 3, 4, 5, 6, 7, 8, 9 ]; modifyArray( theArray[ 3 ] ); document.write( theArray.join( " " ) ); function modifyArray( i ) { i = 11; }</SCRIPT> Nothing, the browser will generate an error. | 1 2 3 4 5 6 7 8 9
What will value contain after the following code is executed assuming that Colors is a valid TDC control? value = Colors.recordset; | it will contain the current indexed item of the datasource.
What will value contain after the following code is executed? var value = new Date(); value = value.valueOf(); | a large integer representing the number of milliseconds between midnight january 1, 1970 and the current date
What will value contain after the following code is executed? var value = new Date(); value = value.valueOf(); Choose one answer. | a large integer representing the number of milliseconds between midnight january 1, 1970 and the current date
What would the browser display if it executed the following script? <SCRIPT LANGUAGE = "JavaScript"> for ( var count = 1; count <= 10; ++count ) { if ( count == 5 ) break; } document.writeln( count ); </SCRIPT> | c. 5
What would the browser display if it executed the following script? <SCRIPT LANGUAGE = "JavaScript"> var total = 0; nextLoop: for ( var i = 0; i < 5; ++i ) { for ( var j = 0; j < 2 ; ++j ) { if ( i < 2 ) continue nextLoop; total++; } total++; } total++; document.writeln( total ); </SCRIPT> | 10
What would the browser display if it executed the following script? <SCRIPT LANGUAGE = "JavaScript"> var total = 0; stop: { // labeled compound statement for ( var i = 0; i < 5; ++i ) { for ( var j = 0; j < 2 ; ++j ) { if ( i == 2 ) break stop; total++; } total++; } total++; } total++; document.writeln( total ); </SCRIPT> | 7
What would the browser display if the following code is executed in a script? var grade = 59 if ( grade >= 60 ) document.writeln( "Passed." ); else document.write( "Failed. " ); document.writeln( "You must take this course again." ); | failed
What would the browser display if the following code is executed in a script? var x = 11, y = 14; if ( x > 13 )if ( y > 13 ) document.writeln( "x and y are > 13" ); else document.writeln( "x is <= 13" ); | x is <= 13x
What would the browser display if the following code is executed in a script?var grade = 59 if ( grade >= 60 ) document.writeln( "Passed." ); else document.write( "Failed. " ); document.writeln( "You must take this course again." ); | failed.
What would the browser display if the following code was executed in a script? var product = 0; while ( product <= 25 ); product = 2 + product; | a. nothing, the script would result in an error
What would the browser display if the following script is executed? <SCRIPT LANGUAGE = "JavaScript"> var count = 0, total = 0; while ( count <= 5 ) { total = total + 10; count = count + 1;} document.write(total); </SCRIPT> | 60
What would the browser display if the following script is executed? <SCRIPT LANGUAGE = "JavaScript"> var count = 5, total = 0; while ( count > -1 ) { total = total - 10; count = count - 1; } document.write(total); </SCRIPT> | -60
What would the browser display if the following script was executed and the user entered 5 at both prompts? <SCRIPT LANGUAGE = "JavaScript">var firstNumber = window.prompt("Enter an integer", 0);var secondNumber = window.prompt("Enter an integer",0);var thirdNumber;thirdNumber = firstNumber + secondNumber;document.write( thirdNumber ); </SCRIPT> | 55
What would the browser display if the following script was executed? <SCRIPT LANGUAGE = "JavaScript"> for( int i = 0; i < 5; i++ ) document.write("X"); </SCRIPT> | nothing, the script would generate an error
What would the browser display if the following script was executed? <SCRIPT LANGUAGE = "JavaScript"> for( var i = 0; i < 5; i++ ) document.write("O"); </SCRIPT> | c. ooooo
What would the browser display if this script was executed? <SCRIPT LANGUAGE = "JavaScript"> var c = new Array(8); for( var i = 0; i < 8; i++ ) c[i] = i; document.write(c[8]); </SCRIPT> | undefined
What would the browser display if this script was executed? <SCRIPT LANGUAGE = "JavaScript"> var c = new Array(8); for( var i = 0; i < 10; i++ ) c[i] = i; document.write(c[9]) </SCRIPT> | 9
What would the browser output if the following script is executed? < SCRIPT LANGUAGE = "JavaScript" > var array = [ [ 1, 2, 3 ], [ 1, 2, 3 ] ]; for ( var i in array ) { for ( var j in array[ i ] ) document.write( array[ i ][ j ] + " " ); document.writeln("<BR>"); } < /SCRIPT > | d) 1 2 3 1 2 3
What would the function cube return, assuming it is called with the line cube(3). function cube(y); { return y y y; } | javascript runtime error
When a minOccurs attribute is used, there cannot be a maxOccurs attribute in the same line | f
When creating our XPath statement, each element is separated by a _________. | forward slash
When implementing a tag, if the tag just includes the body verbatim, or if it does not include the body, then the tag handler class must extend the BodyTagSupport class. Is this statement true of false. | false
When selecting elements, the method of using the complete path is referred to as the ________ path, and it is useful for selecting specific elements. | absolute
When the mouse moves over an element which of the following is triggered? | onmouseover
When the TDC is bound to an element, the element's DATASRC attribute should be set to ________. | d) the name of the tdc object preceded by a #
When two values are specified for the margin then | the first value is set as the top and bottom margins.
When using HTML forms which of the folowing is true for POST method? Select the one correct answer. | post method sends data in the body of the request.
When using the width, height and overflow properties of an element, position must be ________. | not absolute
When working with XPath expressions, the ability to combine multiple expressions into one can be done by _________. | (vertical bar aka "pipe")
When you are using the absolute path to locate an element, your expression must start with the _________ element of your XML document. | root
Whenever you need to select an element and use a predicate on that same element, you will need to use a ______ to access that element's value. | . (period)
Where is the correct place to insert a JavaScript? | both the <head> section and the section are correct
Where on the browser will the command window.status( "text" ) display output? | on the status bar
Which act as a proxy to an EJB? | a. remote instance
Which are the types of messaging domains? (choose 2) | publish/subscribe
Which best describe void? | operator
Which browsers can view the visual effects created by filters and transitions? | netscape
Which class that includes the getSession method that is used to get the HttpSession object? | httpservletrequest
Which class type must be implicitly or explicitly denoted in the persistence.xml descriptor as managed persistence classes to be included within a persistence unit? | a. entity classes
Which component can use a container-managed entity manager with an extended persistent context? | b. only stateful session beans
Which contains in XML document's prolog? | xml declaration or/and document type declaration
Which directory is legal location for the deployment descriptor file? Note that all paths are shown as from the root of the web application directory. | b. \web-inf
Which DOMDocument method is used to create a new attribute? | createattribute
Which element defined within the taglib element of taglib descriptor file is required? Select one correct answer. | a. tag
Which element of the deployment descriptor of a web application includes the welcome-file-list element as a subelement. Select the one correct answer.(?)(not checked yet) | welcome-file
Which element of the servlet element in the deployment descriptor is used to specify the parameters for the ServletConfig object. Select the one correct answer. | b. init-param
Which exception is used to catch Exception when the XMLEventReader is used? | xmlstreamexception
Which Exception is used when JAXB operation is applied? | jaxbexception
Which facet of the string data type can be used to specify a set of values that a data type can accept? | enumeration
Which features must the well-formed XML document have? | none of the others
Which has no syntax error? | alert("hello +3+ times");
Which HTTP method gets invoked when a user clicks on a link? Select the one correct answer | get method
Which HTTP method is used in FORM based Authentication? | a. post
Which interface and method should be used to retrieve a servlet initialization parameter value? (Choose one) | servletconfig : getinitparameter(string name)
Which interface can you use to retrieve a resource that belongs to the current web application? | a. servletcontext
Which interface you CANNOT use to obtain a RequestDispatcher Object? | a. servletcontext
Which is a valid PostConstruct method in a message-driven bean class? | c. @postconstruct private void init() {}
Which is detected when the mouse moves over a link? | overmouse event
Which is disadvantage of using JEE (or J2EE) server-side technologies in a web-based application? | b. complexity
Which is not a correct name for an XML documents? | <1dollar>
Which is not a correct name for an XML element | <first name>
Which is NOT a correct statement about entity beans? | c. they are used to implement business processes
Which is NOT a scope of implicit objects of JSP file? | a. application
Which is NOT a technique that can be used to implement 'sessions' if the client browser does not support cookies? | a. using http headers.
Which is NOT associated with the business tier in a JEE (J2EE) web-based application? | a. jsp
Which is NOT belonging to basic three types of EJB? | a. transfer object
Which is NOT EJB container? | apache tomcat 5.5
Which is NOT Enterprise Beans? | a. business beans
Which is NOT provided by the EJB tier in a multitier JEE (J2EE) application? | b. xml parsing
Which is NOT represented in a UML class diagram? | c. the interaction between objects in sequential order
Which is NOT the BEST case to use Enterprise Java Beans? (Choose one) | the applications are small or medium size.
Which is NOT the main type of JSP constructs that you embed in a page? | actions
Which is NOT the role of EJB Deployer? | write the code that calls on components supplied by bean providers
Which is NOT true about stateless session beans? | c. they are used to represent data stored in a rdbms
Which is the BEST case use Container-managed persistent (CMP)? | when you require some kind of special bean, like multi-tables, that cannot be completely realized with a single bean
Which is the correct sequence? | jsp page is translated -->jsp page is complied-->jspinit is called ->_jspservice is called -->jspdestroy is called
Which is the CORRECT statement about JMS? | a. jms uses jndi to find destination
Which is the CORRECT statement? | entity beans represent persistent state objects (things that dont go away when the user goes away)
Which is the proper method to set the mask color? | a) filter: mask( color = #ccffff )
Which is true about JDBC? | b. the jdbc api is included in j2se
Which is true about JEE ( or J2EE)? | c. jee includes servlet apis and ejb apis
Which is true about RMI? | b. rmi allows objects to be send from one computer to another
Which is true about the relationship "A keyboard has 101 keys"? | b. this is a one-to-may relationship
Which Java technology provides a standard API for publish-subscribe messaging model? | b. jms
Which Java technology provides a unified interface to multiple naming and directory services? | b. jndi
Which language is used to describe the DTD syntax? | c. extended backus-naur form
Which method is used to get all descendant of current element in traversing DOM tree? | getchildnodes
Which method is used to search for a substring? | stringvariable.indexof(substring)
Which method of ReportGeneratorServlet will be called when the user clicks on the URL shown by the following HTML. Assume that ReportGeneratorServlet does not override the service(HttpServletRequest, HttpServletResponse) method of the HttpServlet class. (Choose one) | a. doget(httpservletrequest, httpservletresponse);
Which method will open a new window? | window.open(pageurl,windowname,settings);
Which number gets printed when the following JSTL code fragment is executed? Select the one correct answers.<%@ taglib uri="http://java.sun.com/jsp/jstl/core" prefix="c" %><c:set var="j" value="4,3,2,1"/><c:forEach items="${j}" var="item" varStatus="status"><c:if test="${status.first}"><c:out value="${status.index}" default="abc"/></c:if></c:forEach> | 1
Which numbers gets printed when the following JSTL code fragment is executed? Select the two correct answers.<%@ taglib uri="http://java.sun.com/jsp/jstl/core" prefix="c" %> <c:set var="j" value="4,3,2,1"/> <c:forEach items="${j}" var="item" begin="1" end="2" varStatus="status"> <c:out value="${status.count}" default="abc"/> </c:forEach> | 2 3
Which object represents the top level of the XML source? | domdocument
Which of followings are features of SGML? | it needs a separate+it describe+sgml application is
Which of the elements defined within the taglib element of taglib descriptor file are required? Select one correct answer. | a. taglib-location
Which of the elements defined within the taglib element of taglib descriptor file are required. Select the two correct answers | a. name d.tag-class
Which of the elements defined within the taglib element of taglib descriptor file are required. Select the two correct answers | a. tlib-version b.short-name
Which of the following abbreviated XPath expressions is equivalent to the following unabbreviated XPath expression ?child::chapter[attribute::number and attribute::title] | chapter[@number and @title]
Which of the following are correct JSP expressions | a. <%= new date() %>
Which of the following are correct statements? Select the two correct answers | a.the getrequestdispatcher method of servletcontext class takes the full path of the servlet, whereas the getrequestdispatcher method of httpservletrequest class takes the path of the servlet relative to the servletcontext c.the getrequestdispatcher(string url) is defined in both servletcontext and httpservletrequest method
Which of the following are correct. Select the one correct answer | to use the character %> inside a scriptlet, you may use %\> instead.
Which of the following are declared correctly? | for (var i=0;i<100;++i ) { statement;}
Which of the following are disadvantages of using SAX parsers? | sax is read-only
Which of the following are examples of JSP directive. Select the two correct answers.(?)(not checked yet) | include, taglibrary, page
Which of the following are tags is used to define rules for an element? | c. <!element ... (#pcdata)>
Which of the following are valid combinations of minOccurs and maxOccurs for any element in a xsd:all group ? | minoccurs = 1 maxoccurs = 1 minoccurs = 0 maxoccurs = 1
Which of the following are valid iteration mechanisms in jsp? | <% int i = 0; for(;i<5; i++) { %> "hello world"; <% i++; } %>
Which of the following are valid tags? | <fpt_university>
Which of the following are well formed XML fragments? | <myelement myattribute="somevalue"/>
Which of the following axes can be used together to reference all the nodes in any XML document ? | ancestor, descendant, self, following, preceding
Which of the following best describes the visual effect that alpha is used for? | replacing text colors
Which of the following can be considered a valid element name? | product$name
Which of the following can be declared as a direct child of a XML Schema element ? | element + attribute
Which of the following cannot be a part of a SOAP message? | dtd processing instruction
Which of the following classes define the methods setStatus(...) and sendError(...) used to send an HTTP error back to the browser? | both are defined in httpservletresponse
Which of the following code snippet of HTML document are correct structured? | <html><head><title>...</title>...</head><body ...>...</body></html>
Which of the following code snippets would you use to specify a default declaration of a namespace | <schema xmlns:xs="http://www.w3.org/2001/xmlschema">
Which of the following constitute valid ways of importing Java classes into JSP page source? | c. <%@ page import="java.util.*" %>
Which of the following contradicts the notion of structured programming? | c. goto
Which of the following correctly represents the following JSP statement. Select the one correct answer. <%=x%> | <jsp:expression>x</jsp:expression>
Which of the following correctly represents the following JSP statement. Select the one correct answer. <%x=1;%> | <jsp:scriptlet>x=1;</jsp:scriptlet>
Which of the following defines the class name of a tag in a TLD? | b. tag-class
Which of the following defines what is meant by a valid document? | a document which conforms to the rules of a dtd
Which of the following deployment descriptor snippets would you use to declare the use of a tag library? | c. <taglib> c. <taglib-uri>http://abc.net/ourlib.tld</taglib-uri>c. <taglib-location>/web-inf/ourlib.tld</taglib-location>c. </taglib>
Which of the following Document type definitions will validate the below XML document successfully ? | <!element root empty><!attlist root rootattr cdata #fixed "value">,<!element root (#pcdata)>,<!element root any><!attlist root rootattr cdata "value">
Which of the following DOM interfaces could be used to filter a set of nodes from a tree based on some criteria? | nodefilter
Which of the following element are required for a valid <taglib> tag in web.xml?(Choose one) | a. <taglib_uri>
Which of the following elements are used for error handling and are child elements of <web-app> of a deployment descriptor? | <error_page>
Which of the following elements defines the properties of an attribute that a tag needs? | a. attribute
Which of the following elements is not valid inside a group element in an XBRL document? | c. value
Which of the following entries in an XML document will cause an application reading the document to use null values for the field named "customerAddress"? | <customeraddress xsd:nill="true"/>
Which of the following feature of SQL Server was used before XML technology for semi structured data? | stored procedure
Which of the following files is the correct name and location of deployment descriptor of a web application. Assume that the web application is rooted at \doc-root. Select the one correct answer | c. \doc-root\web-inf\web.xml
Which of the following flowchart symbols indicates that a decision is to be made? | diamond
Which of the following following is used for retreiving XML Schema Collections? | xml_schema_namespace
Which of the following functions in SAX parser notifies an XML document handler about the start of an element in an XML document? | startelement()
Which of the following functions searches a string for a substring and returns an index of the found substring if it is found? | instr
Which of the following handler interfaces is used by the SAX API to validate error? | errorhandler
Which of the following is (are) a valid XML name(s)? | :3:3:5:7
Which of the following is a correct JSP declaration for a variable of class java.util.Date? | a. <%! date d = new date(); %>
Which of the following is a JavaScript reprtition structure? | do/while
Which of the following is a legal function call for the function definition provided below? function square( y ) { return y * y;} | square(7+2);
Which of the following is a valid standard action that can be used by a jsp page to import content generated by another JSP file named another.jsp? | <jsp:include page='another.jsp'/>
Which of the following is a valid VBScript conversion function? | cint
Which of the following is an illegal array initialization statement? | var n = new array( 5 ); n = [ 10, 20, 30, 40, 50 ];
Which of the following is an XMLbased service IDL that defines the service interface and its implementation characteristics. | wsdl
Which of the following is declared correctly and will not result in an error assuming x = 2 and y = 30? | c. for ( var j = x; j <= 80 * y; j += 5 / x )
Which of the following is equivalent <%! ? (Choose one) | a. <jsp:declaration
Which of the following is example of JSP directive? Select one correct answer. | include
Which of the following is false | b) objects do not have the property of information hiding.
Which of the following is false | c) the sort property automatically displays the new order of the data
Which of the following is false? | c) the tdc outputs an interface like microsoft excel.
Which of the following is false? | d) filters and transitions cannot be adjusted dynamically.
Which of the following is false? | in any flowchart, control structure (sequence, if, if/else, switch, while, do/while or for) can be replaced by 2 rectangle (actions) in sequence.
Which of the following is false? | objects do not have the property of information hiding.
Which of the following is false? | the sort property automatically displays the new order of the data.
Which of the following is INCORRECT statement about implicit objects and scope? | application can't be used to access other web application resources
Which of the following is indicated by URL, which is used on the Internet? | information resources(sources) on the internet
Which of the following is legal JSP syntax to print the value of i. Select the one correct answer | <%int i = 1;%> <%= i %>
Which of the following is not a border property? | shape
Which of the following is not a JavaScript keyword? | sub
Which of the following is not a JavaScript selection structure? | for/in
Which of the following is not a keyword used for default settings in an! ATTLIST element? | #define
Which of the following is not a property of the blur filter? | all of these are properties of the blur filter.
Which of the following is not a property of the glow filter? | direction
Which of the following is not a type of DTD? | table based.
Which of the following is NOT a type of popup box? | radio
Which of the following is NOT a valid attribute for a useBean tag? | classname
Which of the following is NOT a valid CSS selector? | head selectors
Which of the following is not a valid equality or relational operator? | =
Which of the following is not a valid HTTP/1.1 method. Select the one correct answer | compare method
Which of the following is not a valid PARAM setting for TDC controls? | <param name =classid: clsid:333c7bc4-460f-11d0-bc04-0080c7055a83>
Which of the following is not a VBScript sub-type? | variant
Which of the following is not a XML storage option? | small object storage
Which of the following is not an extension of XML? | sgml.
Which of the following is NOT done with JavaScript? | rgb colors
Which of the following is not one of Bohm and Jacopini's three control structures? | goto-less structure
Which of the following is not required for counter-controlled repetition? | sentinel
Which of the following is represented as a node in the tree a DOM parser creates? | all of the above
Which of the following is the best description of the characters() method? | it is a method of the sax contenthandler interface to receive notifications on the presence of character data.
Which of the following is the correct processing instruction that specifies an XSL document (myXSL.xsl) to be used to transform an XML document. | c. <?xml:stylesheet type = "text/xsl" href="myxsl.xsl">
Which of the following is the proper method to access the length of the array arr[]? | arr.length
Which of the following is the proper method to apply a transition effect? | element.filters( "blendtrans" ).apply();
Which of the following is the proper method to apply the fliph filter to the following H1 element? <H1 ID = "test">This is a test</H1> | the filter cannot be applied to this element.
Which of the following is the proper method to dynamically allocate memory to an array of 100 elements? | var c = new array( 100 );
Which of the following is the proper way to dynamically access the background color from within the script? | document.body.style.backgroundcolor
Which of the following is the purpose of a schema? | to describe and constrain both the structure and data within the xml document
Which of the following is true about Data Integrity? | the information/data is not tampered with, in transit from host to client.
Which of the following is true regarding Function procedures? | the procedure can return a value by assigning a value to the function procedure name.
Which of the following is true regarding the DHTML mask filter: | b) it is used to create images with transparent foregrounds
Which of the following is true regarding the following code? MsgBox( "VBScript is fun!", , "Results" ) | c) the function should be preceded by the keyword call
Which of the following is true regarding VBScript arrays? | vbscript arrays can be dynamically allocated.
Which of the following is true regarding VBScript classes? | d) the property let method is used for non-object subtypes
Which of the following is true statement about the JavaServer Page life cycle?(Choose one) | the _jspservice() method is called from the generated servlets service() method
Which of the following is true? | b) the tdc handles creating table cells for output
Which of the following is true? | c) the shadow filter property can be set to exactly 8 different values
Which of the following is true? | d. for loops increment after the body statement is performed and while loops increment in either condition or body
Which of the following is true? | text qualifiers encapsulate the data in a field.
Which of the following is true? | the dropshadow filter does not have a direction attribute.
