which of these following items are benefits of e-learning? hint: choose multiple answers (3) | ,lower cost,greater flexibility,more effective learning
# m-commerce transactions and activities require and | hardware and software infrastructures; infrastructure support
# components of a wireless infrastructure that support delivery of services over a wireless connection are: | wap gateways, gps locators, and gps satellites.
# a suite of network protocols designed to enable different kinds of wireless devices is called: | wireless application protocol.
# the application logic in a handheld pda, smart phone, palm or wintel notebook is called: | a mobile application user interface.
# rick sends a message from a delayed flight to his friend on her cell phone that he will be arriving late. the service that allows the sending and receiving of such short text messages on mobile phones is called: | sms
# infrastructures that sua. pport the wireless connection are: | a. network access points, mobile communications server switches, and cellular transmitters and receivers.
# the ieee standard offers bandwidth transfer rates of 200 to 540 mbps, which makes it impractical because it exceeds the limits of most broadband connections used by homes and small businesses | 802.11n
# most wlans run on a telecommunications standard known as , which is more commonly called . | ieee 802.11; wi-fi
# a is suitable for mobile users who need to make very short-range device-to-device wireless connections within a small space, such as a single room, and most commonly with bluetooth. | personal area network
# all of the following about wireless wide area networks (wwan) are true except: | the single wwan network standard insures compatibility of handsets within and between countries.
# the major attributes that enable development of new applications that are possible only in a mobile environment include all of the following except: | security
# as in e-commerce, m-commerce b2c applications are concentrated in each of the following areas except: | c. telecommunications
# mobile access supports the two functions of sales force mobilization and field service, which extends the reach of to both employees and business partners on a 24/7 basis to any place where recipients are located. | customer relationship management <442>
# one way to share information with supply chain partners is wireless , which is the science of measuring physical phenomena such as temperature, volume, or an on/off condition at a remote point and transmitting the value to a distant recorder or observer. | telemetry
# the development of m-commerce is being driven by the following technological, business, social, and economic factors except: | the transition to a manufacturing economy.
# one initiative underway that could lead to widespread support for the introduction of rfid is the , which identifies the manufacturer, producer, version, and serial number of | electronic product code
# by enabling sales force employees to record orders in real time, the organization benefits through each of the following except: | more extensive collaboration and sharing of customer leads.
# refers to the integration of computers and wireless communications in order to improve information flow | telematics
# all of the following about rfid are true except: | an rfid tag can hold 20 times the amount of information a bar code can hold..100 feet
# all of the following are barriers to location-based m-commerce except: | there are presently not enough location-based systems to make this a viable technology.
# the services provided through location-based m-commerce focus on key factors which include all of the following except: | geocaching, or determining the topography of an area.
# you are walking near a coffee shop and suddenly your cell phone beeps with a message: come inside and get a free biscotti with any purchase. this is an example of: | location-based advertising
# many experts believe that the next major step in the evolution of computing will be _____________ in which almost every object will have processing power and a wired or wireless connection to a network. | pervasive computing
# the process of building auction applications is complex for all of the following reasons except: | auctions must provide payment systems
# two purposes of a types of auctions are liquidation and market efficiency | one seller, many potential buyers
# the auction model is popular in b2b. | one-buyer, one-seller
# reverse auctions are a type of auctions. | one buyer, many potential sellers
# the name-your own-price model pioneered by priceline.com is a type of auction. | one buyer, many potential sellers
# auctions done in exchanges or double auctions are auctions. | many buyers, many sellers
# jackie uses a software system to place bids automatically on her behalf until her predetermined maximum price is reached. the software bids in such a way as to minimize the final bid. this is referred to as: | proxy bidding
# bidders sometimes use phantom bidders to drive bid prices up rapidly at the beginning of an auction, thus discouraging bidding from legitimate bidders. at the last minute, the phantom bidders pull out, which awards the item to a very low bidding customer. this practice is called: | bid shielding
# a(n) takes place between sellers and buyers in one industry or for one commodity, such as flowers, cars, or cattle. | vertical auction
# in electronic auctions, near-perfect market information is available about prices, products, current supply and demand, and so on. this feature provides benefits to . | buyers and sellers
# benefits of electronics auctions (e-auctions) to sellers include all of the following except: | anonymity
# the practice by sellers of having associates place fake bids in an auction as a way to drive up the selling price is called: | shilling.
# compared to competitive markets, auction prices are often when there are multiple bidders. | higher
# compared to competitive markets, auction prices are often when there are very few bidders. | lower
# many auction sites are implementing because of the significant increase in the number of users who browse the internet wirelessly. | m-commerce applications
# a major shortcoming with authentication services is: | two different authenticators may come up with different opinions regarding the authenticity and description of a given item.
# john wants to know if the first edition novel he just purchased through an e-auction is actually a first edition. the auction host helps him locate an expert that will him whether the novel is a genuine first edition or a fake. this is an example of: | authentication
# many companies use intermediaries or trading assistants instead of implementing e-auctions themselves for each of the following reasons except: | to avoid tax and legal fees.
# the incidence of online fraud and identify theft has increased for each of the following reasons except: | new effective phishing scams and schemes being carried out by computer experts.
# cyber cons have a negative effect on ec because | defending against these cons and compensating for damages significantly increase the costs of ec.
# the key reasons why ec criminals cannot be stopped include each of the following except: | sophisticated hackers use browsers to crack into web sites.
# it is currently known that if a front-end application such as a web site is effectively secured, then | the data itself may not be secure because the application may not function as planned.
# a vulnerability | is a weakness in software or other mechanisms that a hacker can use directly to gain access to a system or network.
# the underlying reasons why a comprehensive ec security strategy is needed include all of the following except: | managers treating ec security as a process.
# the protection of information systems against unauthorized access to or modification of information that is stored, processed, or being sent over a network is referred to as . | information assurance.
# the success and security of ec depends on the of information and the business web site. | confidentiality, integrity, and availability
# the most cost-effective approach to ec security is to develop and implement a strategy that | proactively meets regulatory, financial, marketing and operational requirements.
# to be effective, an acceptable use policy (aup) needs | to inform all users of their responsibilities when using company networks, computer equipment, wireless devices, and customer data.
# which of the following statements about hardware and software security defenses is false? | hardware and software security defenses protect against irresponsible business practices or corrupt management.
# social engineering attacks are: | take advantage of web 2.0 applications like social networking sites, blogs, wikis and rss feeds.
# a technique known as web page hijacking | enables a malicious web master to displace the pages of an ec web site in the search engine results pages (serps) to redirect customers to another site.
# a botnet is: | a coordinated network of computers that can scan for and compromise other computers and launch dos attacks.
# access to a network ought to be based on: | the policy of least privilege where access to network resources are blocked and permitted only when needed to conduct business.
# firewalls that filter requests from the internet to a private network based on the ip address of the computer sending or receiving those requests are called: | packet-filtering routers.
# the advantages of virtual private networks (vpn) for data communications include all of the following except: | they ensure the confidentiality and integrity of the data transmitted over the internet without requiring encyption.
# a host-based intrusion detection system (ids): | resides on the server that is being monitored where it can detect whether critical or security-related files have been tampered with or whether a user has attempted to access files that he or she is not authorized to use.
# factors that come into play in determining whether a particular method of e-payment achieves critical mass include all of the following except: | full traceability of the buyers.
# a card that draws the payment amount directly from the users checking account is called a(n): | debit card
# the process of determining whether a card is active and whether the customer has sufficient funds for the purchase is called: | authorization.
# are financial institutions that provides a customer with a payment card. | issuing banks
# provide connectivity among merchants, customers, and financial networks enabling authorization and payments is called the: | payment processing services
# from the perspective of the billing firm, all of the following are advantages of e-billing except: | universal availability.
# from the perspective of the customer, all of the following are advantages of e-billing except: | greater security than other types of payments.
# b2b payments are part of a much larger financial supply chain that includes all of the following except: | financial reporting.
# in financial supply chain management, the goal is to optimize all of the following except: | the physical supply chain
# unlike the physical supply chain, characterize the financial supply chains of most companies. | inefficiencies
# the process by which companies present invoices and make payments to one another through the internet is known as: | enterprise invoice presentment and payment.
# the implementation of most ec applications requires the use of all of the following support services except: | manufacturing
# most ec applications are based on that begin with an order, frequently a order. | pull operations; customized
# customer-facing activities or are activities, such as advertising and order taking, that are visible to customers. | front-office operations.
# the council of supply chain management professionals defines as the process of planning, implementing, and controlling the efficient and effective flow and storage of goods, services, and related information from point of origin to point of consumption for the purpose of conforming to customer requirements. | logistics.
# the administrative activities of order taking and fulfillment involve all of the following activities except: | accounts payable.
# the major difference between e-logistics and traditional logistics is: | traditional logistics deals with movement of large amounts of materials to a few destinations.
# the inability to deliver products on time is a typical problem: | in both off-line and e-commerce.
# automated warehouses for 132c companies are designed: | to facilitate the delivery of small quantities of product to a very large number of customers.
# recognizes that are the core of a business and that a companys success depends on effectively managing its relationships with them. | customer relationship management; customers
# for companies, it may be even more important to change strategies quickly. | pure play
# capabilities of the internet that have made it more difficult for companies to capture profits include all of the following except: | the internet makes it easier to make secure payments.
# projections of the business technological, political, economic, and other environmentsare called: | forecasts.
# a specific outcome of the strategy initiation phase is the , which includes the vision, mission, value proposition, goals, capabilities, constraints, strengths, and weaknesses of the company. | company analysis
# googles is its expertise in information search technology. | core competency
# is the process of making the selected applications and projects a reality by hiring staff; purchasing equipment; licensing, purchasing, or writing software; and contracting vendors. | project management
# an analytical tool in which a company looks for points of differentiation between competitors and itself is called: | competitor analysis grid
# is the continuous evaluation of progress toward the organizations strategic goals, resulting in corrective action and, if necessary, strategy reformulation. | strategy assessment
# the most efficient way to expand an organizations scope is: | to introduce new products or services into new or existing markets without increasing production facilities or staff.
# separating a companys online operations into a new company makes sense in each of the following situations except: | when the company is unable to form new alliances, attract new talent, or raise additional funding.
# internet technologies can provide consumers with easier access to pricing information, which increases their bargaining power. to remain competitive and profitable, sellers need smarter pricing strategies, which include all of the following strategies except: | reducing prices.
# a is a form of business alliance composed of several business partners that share the costs and resources for the development or production of a product or service. | virtual corporation
# the most important objectives of strategic assessment are all of the following except: | identify what competitors are doing to avoid head-on competition.
# to defend against unethical and illegal business tactics that exploit ec operations, google, msn search, and yahoo have turned to all of the following aggressive measures except: | implemented honeypots.
# a decision by a judge that may be used as a standard in similar cases that follow is referred to as: | legal precedent
# intellectual property law is the area of law that is associated with each of the following except: | business contracts.
# which of the following is true about copyrights? | the entertainment industry, led primarily by the motion picture association of america (mpaa) and riaa, is trying technical solutions via the legal system to protect its interests.
# each of the following statements about digital rights management (drm) is true except: | drm technologies were developed with strict regard for privacy protection.
# which of the following is true about the scope of business ethics? | the scope of business ethics has expanded to encompass the nature and quality of the relationships with shareholders, customers, business partners, suppliers, the community, environment, and future generations.
# which of the following statements about the rights to privacy andfree speech is not correct? | the internet has destroyed the right to privacy.
# all of the following are ways to use the internet to find information about an individual except: | stealing the individuals computer.
#_____________ are a popular online publishing technology for creating a web page that can be edited by anyone with a standard web browser | wikis
#all of the following are problems in implementing e-government except: | the technology needed to implement stage 6 of the deloitte transformation process does not exist yet.
#which of the following is an example of edutainment? | an online game that uses colorful characters to teach young children about numbers
#ore and more people are willing to pay for digital music, as shown by the success of ________ | apples itunes
#the exclusively online publication of stephen king's e-book riding the bullet in march 2000 | as disrupted by hackers who breached security, then distributed free copies of the book.
#a major purpose of an organizational knowledge base is to support and allow ___________ | knowledge sharing
#the tasks of km include each of the following except | restricting knowledge access to prevent its transfer between individuals.
#knowledge generated in e-business contributes to the enhancement of three core operating processes, which include all of the following except | project management
#ustomer-to-customer (c2c) e-commerce is conducted in various ways on the internet, but the best-known c2c activities are: | c2c auctions\
#the e-scm process that includes integrated production and distribution processes is | supply chain replenishment.
#_______________ means that the communication and collaboration are done in real time | *synchronous
#all of the following are types of communication and collaboration done in real time except: | *blogging
#m-commerce transactions and activities require _____________ and _______________ | hardware and software infrastructures; infrastructure support
#infrastructures that support the wireless connection are: | network access points, mobile communications server switches, and cellular transmitters and receivers.
#the exchange of updated information with other computing devices is called: | synchronization.
#a ___________ is suitable for mobile users who need to make very short-range device-to-device wireless connections within a small space, such as a single room, and most commonly with bluetooth | personal area network
#ost wlans run on a telecommunications standard known as ____________, which is more commonly called ______________ | ieee 802.11; wi-fi
#the ieee standard ___________ offers bandwidth transfer rates of 200 to 540 mbps, which makes it impractical because it exceeds the limits of most broadband connections used by homes and small businesses | 802.11n
#mobile access supports the two functions of sales force mobilization and field service, which extends the reach of _________________ to both employees and business partners on a 24/7 basis to any place where recipients are located | customer relationship management
#one way to share information with supply chain partners is wireless _________, which is the science of measuring physical phenomena such as temperature, volume, or an on/off condition at a remote point and transmitting the value to a distant recorder or observer | telemetry
#wimax and 3g wireless mobile technologies offer telemedicine application opportunities that include all of the following except | reduced threat of malpractice suits because there is no hands-on interaction between the remote physician and the patient.
#a(n) _________________ is a computer system capable of integrating, storing, editing, analyzing, sharing, and displaying spatial information | geographical information system
#all of the following about rfid are true except: | an rfid tag can hold 20 times the amount of information a bar code can hold, and the tag can be read through cardboard, wood, and plastic at a range of up to 100 feet.
#one initiative underway that could lead to widespread support for the introduction of rfid is the _______________, which identifies the manufacturer, producer, version, and serial number of each item and does not require line-of-sight contact to be read | electronic product code
#two purposes of a type of _____________ auctions are liquidation and market efficiency. | one seller, many potential buyers
#the name-your own-price model pioneered by priceline.com is a type of ___________ auction | one buyer, many potential sellers
#a(n) _____________ takes place between sellers and buyers in one industry or for one commodity, such as flowers, cars, or cattle | vertical auction
#in electronic auctions, near-perfect market information is available about prices, products, current supply and demand, and so on. this feature provides benefits to___________. | buyers and sellers
#______________ refers to the tendency of customers to stay at web sites longer and come back more often. | stickiness
#limitations of e-auctions include all of the following except: | dynamic pricing
#compared to competitive markets, auction prices are often __________ when there are multiple bidders | higher
#compared to competitive markets, auction prices are often __________ when there are very few bidders | lower
#john wants to know if the first edition novel he just purchased through an e-auction is actually a first edition. the auction host helps him locate an expert that will tell him whether the novel is a genuine first edition or a fake. this is an example of | authentication.
#each of the following is true about auction rules except | rules eliminate conflicts with existing distributors and distribution channels.
#many auction sites are implementing ______________ because of the significant increase in the number of users who browse the internet wirelessly | m-commerce applications
#the u.s. agencies dedicated to eliminating fraud resulting from phishing and crimeware are: | the high-tech crime network, anti-phishing working group, and federal trade commission
#___________ is a crimeware technique used to steal the identity of target companies to get the identities of their customers. | phishing.
#where do a huge majority, possibly as high as 95 percent, of hackers reside? | turkey, china, romania, or brazil.
#the protection of information systems against unauthorized access to or modification of information that is stored, processed, or being sent over a network is referred to as ________. | information assurance.
#the success and security of ec depends on the __________ of information and the business web site | confidentiality, integrity, and availability
#in 2005, human error was responsible for almost _______ percent information security breaches in organizations | 60
#which technologies are designed and used to secure ec communications across a network? | access control lists, tokens, passwords, and biometric systems
#secure socket layer (ssl), which is also known as transport layer security (tls): | is one of the major generally accepted protocols for securing e-commerce used by microsoft and netscape.
#in the united states, which the federal laws place legal limits on monitoring activity? | the wiretap act and the pen register, trap, and trace devices statute
#a payment card that provides the holder with credit to make purchases up to a limit fixed by the card company and charges relatively high interest rates on unpaid balances is the: | credit card.
#______________ offer internet merchant accounts, which are special accounts for credit card authorization and payment processing. | acquiring banks
#_____________ are small online payments typically under us$10: | e-micropayments
#an advantage of e-checks is that they: | fit current business practices, and so require little process reengineering.
#the nationwide batch-oriented electronic funds transfer system that provides for interbank clearing of electronic payments for participating financial institutions is called the: | automated clearinghouse network.
#unlike the physical supply chain, _______________ characterize the financial supply chains of most companies. | inefficiencies
#barriers inhibiting b2b electronic payment include all of the following except: | strict standard formats for remittance information.
# according to a survey by credit research foundation, the major reasons companies turn to eipp solutions are all of the following except: | elimination of billing disputes
#____________ is an eipp many-to-many model with a third party acting as an intermediary, collecting or aggregating invoices from multiple sellers and payments from multiple buyers. | consolidator
#among the forms of online b2b payments, _____________ is second only to ach in terms of frequency of use. | fedwire, or wire transfe
#all of the following are advantages of using purchase cards except: | they are widely accepted in international trade.
#in global trade, a ______________ is a written agreement by a bank to pay the seller, on account of the buyer, a sum of money upon presentation of certain documents. | letter of credit
#all of the following are benefits of letters of credit (lcs) except: | lcs are cheap and easy to establish.
#the current internet sales tax moratorium in the united states applies to: | all sales made over the internet if the seller has no physical presence in the state where the buyer lives.
#many b2c and b2b businesses rely on specialized third-party software and services to calculate the taxes associated with a sale because: | of the complexities.
#for _____________ companies, it may be even more important to change strategies quickly. | pure play
#projections of the business technological, political, economic, and other environments are called | forecasts.
#the unique combination of resources, experiences, and expertise within a particular firm is called their: | core competencies
#a specific outcome of the strategy initiation phase is the ________________, which includes the vision, mission, value proposition, goals, capabilities, constraints, strengths, and weaknesses of the company. | company analysis
# a specific outcome of the strategy initiation phase is a clear statement of the companys ________________, which summarizes the customer segment, competitor target, and the core differentiation of ones product from the offerings of competitors. | value proposition
#many of the outcomes from the first two phases of the strategic planning process, such as a determination of goals, competitor analysis, strategic opportunities, and risk analysis come together in a _______________. | business plan
#a management tool that assesses organizational progress toward strategic goals by measuring performance in a number of different area is | balanced scorecard
#after four years in business, a magazine publisher decides to add the online distribution of its magazine to its existing traditional publishing business. the company would need to develop a: | business case.
#the risks of being a first mover include all of the following except | the risk that the move will be too late.
#factors that determine whether a first mover succeeds or fails in the ec marketplace include all of the following except: | the speed of market entry
#rite aid, a click-and mortar firm, enhanced its ec future by: | buying an equity stake in a existing ec company.
#incorrect approaches to ec strategy selection include all of the following except: | using a late-mover strategy.
#all of the following determine the degree of collaboration between off-line and online activities in a business except: | the pricing strategy
#the _____________ pricing strategy means adding up all the costs involved, such as material, labor, rent, overhead, and so forth, and adding a percentage mark-up as profit. | cost-plus
#implementing ec often requires significant investments in infrastructure. therefore, a good way to start is to undertake _____________________. | one or a few small ec pilot projects
#cios need to effectively communicate the value of proposed ec projects in order to gain approval for all of the following reasons except: | demand for expanding or initiating e-business projects is no longer strong so there are fewer requests for funding.
# one basic way to categorize different ec investments is to distinguish between investments in infrastructure and investment in specific ec applications because benefits from infrastructure investments: | are made for the long-term.
# the basic reasons that companies invest in it and ec are all of the following except: | to justify new marketing campaigns
#not all ec investments need to be formally justified. all of the following are cases where formal evaluation may not be needed except: | when competitors have made that type of investment
#metrics are used to describe all of the following except: | standards.
#productivity benefits from using ec are difficult to measure because: | ec gains in certain areas of the company may be offset by losses in other areas.
# the relationship between ec investment and organizational performance is: | indirect.
#ec costs and benefits can be classified into two broad categories: | tangible and intangible
#the new york metropolitan transit authority (mta) did not need to open another airport for almost two decades, even though air traffic had tripled because of productivity gains derived from improved it systems. it systems added by the mta played critical roles in ticket reservations, passenger and luggage check-in, crew assignment and scheduling, runway maintenance and management, and gate assignments. this case illustrates that: | intangible benefits can be complex, yet substantial
#an important category of intangible benefits is ____________ factors that include comfort to employees, impact on the physical environment, changes to the power distribution in an organization, and preventing invasion of the privacy of employees and customers. | social subsystem
# in b2c, an example of a tangible ec metric from the buyers perspective is: | cost/price of the product.
#for governments, an example of an intangible ec metric is: | reelection of candidates
#the major steps in the process of justifying large-scale ec and it projects include all of the following except: | be careful not to over-estimate cost and under-estimate benefits (a tendency of many managers)
#types of costs and cost issues that need to be considered in justifying ec investments include all of the following except: | opportunity costs.
#traditional methods for evaluating ec investments include all of the following except: | discount rate
#dan welch, who owns three world cup coffee shops in portland, oregon, estimates that his free wi-fi network has added 10 percent to his overall revenue. welch credits wi-fi consumers with spending three times as much on food compared with the average consumer. this is an example of: | business roi
# pouillys poodle shop wants to produce monthly cash flows from its internet doggie-cam investment. the most appropriate method for assessing this investment is: | internal rate of return (irr).
#by calculating the difference between tco and tbo, one can compute the ________ of an it investment. | payoff
# the disadvantage of the npv method for evaluating ec and it is: | it is difficult to compare projects of unequal lifes pans or sizes
#the following direct metrics indicate progress in e-procurement except: | reduced inventory costs.
#justifying information security projects: | should be done because employee security training is usually poorly done
#the average-cost curve (avc) of physical products and digital products: | are different because the avc of digital products declines as quantity increases forming a l-shape, while the avc of physical products is u-shaped.
# when computing agency cost, companies should consider | only production-related costs and ignore transaction costs.
#transaction costs include all of the following except: | production costs incurred for labor and overhead.
#mcafee allows users of its virusscan virus-detection software to automatically update the latest security patches online. this is an example of ___________________ to attract customers who value this automatic update. | product or service differentiation.
# a web-based seller of cds carefully monitors the prices charged by its competitors for identical products. this company has the ability to change a given price within three minutes in response to changes by competitors. this is an example of ec: | agility.
# all of the following are critical success factors (csfs) of the old economy except: | create new partnerships, stay with core competency.
#as a company moves to incorporate an online presence with its traditional brick-and-mortar operation, it adds the costs related to training for all personnel in the capabilities of the ec system and a new advertising campaign to announce its new site to the costs directly associated with building the new web presence. in this case, training and advertising are examples of: | complementary investments.
#one of the strengths of ec is the ease with which its adopters can reach a global population of consumers. however, ec-driven businesses must consider the critical elements affecting the value of ec across cultures. those elements include all of the following except | delivery delays
#all of the following apply to ec in developing economies except: | developing economies struggle with various issues that create too many business and technology risks to justify investment in those economies at this time.
#build-to-order which allows customers to configure their own customized systems | e-business
#purely physical companies are referred to as companies, whereas | brick-and-mortar; virtual
#according to the revenue model, companies receive commissions for referring customers to others ec web sites. | affiliate fees
#according to the revenue model, customers page a fixed amount, usually monthly, to receive some type of service. | subscription fees
# large private organizational buyers and government agencies make large-volume or large-value purchases through , also known as reverse auctions. | electronic tendering systems
# according to the model, an organization can increase brand awareness or even generate sales by web-based word-of-mouth marketing or promoting a product or service to other people. | viral marketing
#the digital enterprise shifts the focus from managing individual information resources such as devices, applications, and data to that define the business | orchestrating the services and workflows
# a corporation uses the internal revenue service's web site to learn how to pay its estimated quarterly income taxes. this is an example of: | e2e
#many companies employ a(n) , which is a gateway for customers ,employees, and partners to reach corporate information and to communicate with the company. | corporate portal
#the portion of an e-sellers business processes through which customers interact, including the sellers portal, electronic catalogs, a shopping cart, a search engine, and a payment gateway is referred to as the of the business. | front end
# the major e-marketplaces are storefronts and internet malls. | b2c
#all the activities that are related to order aggregation and fulfillment, inventory management, purchasing from suppliers, accounting and finance, insurance, payment processing, packaging, and delivery are done in what is termed the of the business. | back end
#a mode is purchasing where prices are negotiated or discounted is , which refers to nonfixed prices, such as those in auctions or stock markets. | dynamic pricing
#although used occasionally in 132c commerce, customized catalogs are especially useful in 13213 e-commerce for each of the following reasons except: | intranets, in particular, can deliver customized catalogs to different business customers.
#according to data from emarketer, approximately shop online and/or research offline-sales online | three in four internet users age 14 and over
# a traditional brick-and-mortar store with a mature web site uses a click- and mortar strategy to do all of the following except: | reduce refunds and exchanges.
#the original click-and-mortar strategy used by toys r us failed, as did the original toy venture of amazon.com. afterwa ds, toys r us sold toys online through amazon.com. this is an example of: | an alliance of a pure-player with a traditional retailer.
# pricing, technical support, and logistics support are several of the that can be controlled by ec vendors and sellers | intervening variables
#banner advertising on web sites helps trigger a realization that there is a gap between reality and a desired state, which occurs in the stage of the ec purchase decision-making process. | need identification
#the internet introduced the concept of , which has enabled marketers and advertisers to interact or communicate directly with customers and consumers can interact with marketers/advertisers | interactive marketing
#social class, lifestyle, personality, and activities are descriptors used in market segmentation. | psychographic
#online methods of bringing new customers to a b2b site when a b2b vendor wants to grow by adding new customers or products include all of the following except: | through direct mail campaigns.
#a(n) is an html coding statement that describes the content of a web page and is used by search engines to index the site's content so that it can be found. | meta-tag
# a(n) is a type of pop-up ad that appears after a user clicks a link and remains while content is loading to capture the user's attention for a short time, either as a promotion or a lead-in to the site's homepage or to advertise a product or a service. | interstitial
#in selling directly, manufacturers may encounter a similar problem to that of b2c, namely with the regular distributors, including corporate dealers | the willingness of companies to incur higher costs to improve collaboration.
# in selling directly, manufacturers may encounter a similar problem to that of b2c, namely with the regular distributors, including corporate dealers | channel conflict
#the cisco connection online (cco) website receives over 2 million hits per month for technical assistance, ordering, order checking, or software downloads. this online service had been so well received that nearly percent of all customer service | 85/95
#indirect materials are typically used in activities | maintenance, repair, and operation (mro)
#some of the benefits of a(n) are that distributor scan check inventory, make transactions, and look up the status of their orders significantly reducing the number of phone calls, e-mails, and incorrect product shipments | extranet-based order-entry tool
#because conducting reverse auction in b2b can be afairly complex process, a(n) may be essenial | third-party intermediary
#the major 13213 services include each of the following except: | retail
#major implementation challenges that companies must consider when planning eprocurement initiatives include all of the following except: | increasing the number of regular suppliers and integrating with their information systems and possibly with their business processes
#increasing the number of regular suppliers and integrating with their information systems and possibly with their business processes | enables customized online catalogs with the same prices for different customers.
#occurs when 13213 eliminates a distributor or a retailer. | disintermediation
#companies use to sell their unneeded assets for quick disposal or to easily dispose of excess, obsolete, and returned products. | forward auctions
# by using the internet and automatic-response software agents, ge reduced the cost of customer service calls from $5.00 per call when done by phone to perelectronically answered call. | $0.20
#in the context of ec, are electronic trading-community meeting places for many sellers and many buyers, and possibly for other business partners. | exchanges
#light bulbs and office supplies might be purchased in a(n) by both an automaker and a steelmaker. | horizontal exchange
# in , the prices are usually dynamic and are based on changes in supply and demand. | spot sourcing
#the exchange model in which rfqs are aggregated then linked to a pool of suppliers who are notified automatically of the rfq is the model | buyer aggregation
#a market maker evaluates an exchange between a buyer in the united states and a seller in spain to ensure that import laws for the u.s. are followed. this is an example of the market maker: | maintaining exchange infrastructure.
#the concept of liquidity for a 13213 exchange is the: | number of buyers and sellers in a market <271>
#the most attractive industries for a vertical exchange are characterized by: | a market in which a small number of very large orders account for more than half the total market volume per year
#attracting large business sellers to public exchanges is often difficult for all of the following reasons except: | advertising costs in public exchanges are very expensive <288>
#an exchange that handles materials used by companies in different industries is referred to as a(n): | horizontal exchange <264>
#all of the following are true about product lifecycle management (plm) except: | the demand for plm in limited because it does not apply to products that have short lifecycles or are complex <337+338>
#is the transfer of documents and computer files while video conferencing | data conferencing
#rfid can provide immediate, short-term, and long-term value to organizations. an example of immediate value from rfid is when | an rfid tag tells inventory control every time a roll of wire moves out of the ware house and onto the factory floor
#wal-mart and levistrauss collaborate on demand forecasting in order to optimize the flow of materials along the supply chain. this is an example of: | cpfr
#is a business strategy that enables manufacturers to control and shareproduct-related data as part of product design and development efforts. | product lifecycle management
1. to the __________, physical location does not matter because the internet allows anyone to link to any web site no matter where in the world that site might be. | b.e-tailer
2. what is true regarding competitive advantage. | d.it is difficult to sustain
3. perhaps a potential customers most common path to a previously unknown website is through a(n) __________ | a.search engine
4. a competitive advantage derived from __________ is generally considered the best approach for a company. | d.improved value chain and/or supply chain efficiency
5. when the supermarket scans your premier customer card it links you to your purchases and then uses that information to establish a personal shopping pattern for you. subsequently, the supermarket uses that information to target advertising (like coupons and mailers) directly to you based on your established shopping patterns, a form of one-to-one, __________ marketing. | e.relationship
6. purchasing new computers or technologies generally leads to a competitive advantage for a company. | b. false
7. web sites use __________ to compile personal information on their visitors and then use the information to create customer profiles. | d. a and c
8. digital products, such as software, music, digitized images, and electronic games are a great fit for consumer focused (b2c) e-commerce because __________. | b. electronic distribution is more efficient than alternative distribution channels for digital products
9. when measuring the effectiveness on an online advertisement, the __________ is the percentage of visitors to a page who click on an advertisement. | e. click-through rate
10. __________ is/are used to pay for microtransactions. | d. either a or b
11. __________ are used by consumers to locate the best price for a desired product | a. shopping bots
12. the development of __________ has been more evolutionary than revolutionary. | d. intra-business e-commerce
13. early business application programs focused on __________. | d. both a and b
14. viewing a system (such as an organization) as a set of individual processes leads to __________. | a. sub-optimization
15. islands of automation do not allow for productivity of individual functional groups. | b. false
